Aba;város;Fejér;Abai;8127
Abádszalók;város;Jász-Nagykun-Szolnok;Tiszafüredi;5241
Abaliget;község;Baranya;Pécsi;7678
Abasár;község;Heves;Gyöngyösi;3261
Abaújalpár;község;Borsod-Abaúj-Zemplén;Encsi;3882
Abaújkér;község;Borsod-Abaúj-Zemplén;Encsi;3882
Abaújlak;község;Borsod-Abaúj-Zemplén;Szikszói;3815
Abaújszántó;város;Borsod-Abaúj-Zemplén;Abaúj–Hegyközi;3881
Abaújszolnok;község;Borsod-Abaúj-Zemplén;Szikszói;3809
Abaújvár;község;Borsod-Abaúj-Zemplén;Abaúj–Hegyközi;3898
Abda;község;Gyõr-Moson-Sopron;Gyõri;9151
Abod;község;Borsod-Abaúj-Zemplén;Edelényi;3753
Abony;város;Pest;Ceglédi;2740
Ábrahámhegy;község;Veszprém;Tapolcai;8256
Ács;város;Komárom-Esztergom;Komáromi;2941
Acsa;község;Pest;Váci;2683
Acsád;község;Vas;Szombathelyi;9746
Acsalag;község;Gyõr-Moson-Sopron;Csornai;9168
Ácsteszér;község;Komárom-Esztergom;Kisbéri;2887
Adács;község;Heves;Gyöngyösi;3292
Ádánd;község;Somogy;Siófoki;8653
Adásztevel;község;Veszprém;Pápai;8561
Adony;város;Fejér;Adonyi;2457
Adorjánháza;község;Veszprém;Ajkai;8497
Adorjás;község;Baranya;Sellyei;7841
Ág;község;Baranya;Sásdi;7381
Ágasegyháza;község;Bács-Kiskun;Kecskeméti;6076
Ágfalva;község;Gyõr-Moson-Sopron;Sopron–Fertõdi;9423
Aggtelek;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;3759
Agyagosszergény;község;Gyõr-Moson-Sopron;Kapuvári;9441
Ajak;város;Szabolcs-Szatmár-Bereg;Kisvárdai;4524
Ajka;város;Veszprém;Ajkai;8400
Aka;község;Komárom-Esztergom;Kisbéri;2862
Akasztó;község;Bács-Kiskun;Kiskõrösi;6221
Alacska;község;Borsod-Abaúj-Zemplén;Miskolci;3779
Alap;község;Fejér;Sárbogárdi;7011
Alattyán;község;Jász-Nagykun-Szolnok;Jászberényi;5142
Albertirsa;város;Pest;Ceglédi;2730
Alcsútdoboz;község;Fejér;Bicskei;8087
Aldebrõ;község;Heves;Füzesabonyi;3353
Algyõ;nagyközség;Csongrád-Csanád;Szegedi;6750
Alibánfa;község;Zala;Zalaegerszegi;8921
Almamellék;község;Baranya;Szigetvári;7934
Almásfüzitõ;község;Komárom-Esztergom;Komáromi;2931
Almásháza;község;Zala;Zalaszentgróti;8935
Almáskamarás;község;Békés;Mezõkovácsházi;5747
Almáskeresztúr;község;Baranya;Szigetvári;7932
Álmosd;község;Hajdú-Bihar;Derecske–Létavértesi;4285
Alsóberecki;község;Borsod-Abaúj-Zemplén;Bodrogközi;3985
Alsóbogát;község;Somogy;Kaposvári;7443
Alsódobsza;község;Borsod-Abaúj-Zemplén;Szerencsi;3717
Alsógagy;község;Borsod-Abaúj-Zemplén;Encsi;3837
Alsómocsolád;község;Baranya;Sásdi;7345
Alsónána;község;Tolna;Szekszárdi;7147
Alsónémedi;nagyközség;Pest;Gyáli;2351
Alsónemesapáti;község;Zala;Zalaegerszegi;8924
Alsónyék;község;Tolna;Szekszárdi;7148
Alsóörs;község;Veszprém;Balatonalmádi;8226
Alsópáhok;község;Zala;Keszthely–Hévízi;8394
Alsópetény;község;Nógrád;Rétsági;2617
Alsórajk;község;Zala;Nagykanizsai;8767
Alsóregmec;község;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;3989
Alsószenterzsébet;község;Zala;Lenti;8973
Alsószentiván;község;Fejér;Sárbogárdi;7012
Alsószentmárton;község;Baranya;Siklósi;7826
Alsószölnök;község;Vas;Szentgotthárdi;9983
Alsószuha;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;3726
Alsótelekes;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;3735
Alsótold;község;Nógrád;Pásztói;3069
Alsóújlak;község;Vas;Vasvári;9842
Alsóvadász;község;Borsod-Abaúj-Zemplén;Szikszói;3811
Alsózsolca;város;Borsod-Abaúj-Zemplén;Miskolci;3571
Ambrózfalva;község;Csongrád-Csanád;Makói;6916
Anarcs;község;Szabolcs-Szatmár-Bereg;Kisvárdai;4546
Andocs;község;Somogy;Tabi;8675
Andornaktálya;község;Heves;Egri;3399
Andrásfa;község;Vas;Vasvári;9811
Annavölgy;község;Komárom-Esztergom;Dorogi;2529
Apácatorna;község;Veszprém;Ajkai;8477
Apagy;község;Szabolcs-Szatmár-Bereg;Baktalórántházai;4553
Apaj;község;Pest;Ráckevei;2345
Aparhant;község;Tolna;Bonyhádi;7186
Apátfalva;község;Csongrád-Csanád;Makói;6931
Apátistvánfalva;község;Vas;Szentgotthárdi;9982
Apátvarasd;község;Baranya;Pécsváradi;7720
Apc;község;Heves;Hatvani;3032
Áporka;község;Pest;Ráckevei;2338
Apostag;község;Bács-Kiskun;Kunszentmiklósi;6088
Aranyosapáti;község;Szabolcs-Szatmár-Bereg;Vásárosnaményi;4634
Aranyosgadány;község;Baranya;Pécsi;7671
Arka;község;Borsod-Abaúj-Zemplén;Abaúj–Hegyközi;3885
Arló;nagyközség;Borsod-Abaúj-Zemplén;Ózdi;3663
Arnót;község;Borsod-Abaúj-Zemplén;Miskolci;3713
Ároktõ;község;Borsod-Abaúj-Zemplén;Mezõcsáti;3467
Árpádhalom;község;Csongrád-Csanád;Szentesi;6623
Árpás;község;Gyõr-Moson-Sopron;Téti;9132
Ártánd;község;Hajdú-Bihar;Berettyóújfalui;4115
Ásotthalom;nagyközség;Csongrád-Csanád;Mórahalmi;6783
Ásványráró;község;Gyõr-Moson-Sopron;Mosonmagyaróvári;9177
Aszaló;község;Borsod-Abaúj-Zemplén;Szikszói;3841
Ászár;község;Komárom-Esztergom;Kisbéri;2881
Aszód;város;Pest;Aszódi;2170
Aszófõ;község;Veszprém;Balatonfüredi;8241
Áta;község;Baranya;Pécsi;7763
Átány;község;Heves;Hevesi;3371
Atkár;község;Heves;Gyöngyösi;3213
Attala;község;Tolna;Dombóvári;7252
Babarc;község;Baranya;Mohácsi;7757
Babarcszõlõs;község;Baranya;Siklósi;7814
Babócsa;község;Somogy;Barcsi;7584
Bábolna;város;Komárom-Esztergom;Komáromi;2943
Bábonymegyer;község;Somogy;Tabi;8658
Babosdöbréte;község;Zala;Zalaegerszegi;8983
Babót;község;Gyõr-Moson-Sopron;Kapuvári;9351
Bácsalmás;város;Bács-Kiskun;Bácsalmási;6430
Bácsbokod;nagyközség;Bács-Kiskun;Bajai;6453
Bácsborsód;község;Bács-Kiskun;Bajai;6454
Bácsszentgyörgy;község;Bács-Kiskun;Bajai;6511
Bácsszõlõs;község;Bács-Kiskun;Bácsalmási;6425
Badacsonytomaj;város;Veszprém;Tapolcai;8258
Badacsonytördemic;község;Veszprém;Tapolcai;8263
Bag;nagyközség;Pest;Aszódi;2191
Bagamér;nagyközség;Hajdú-Bihar;Derecske–Létavértesi;4286
Baglad;község;Zala;Lenti;8977
Bagod;község;Zala;Zalaegerszegi;8992
Bágyogszovát;község;Gyõr-Moson-Sopron;Csornai;9145
Baj;község;Komárom-Esztergom;Tatai;2836
Baja;város;Bács-Kiskun;Bajai;6500
Bajánsenye;község;Vas;Õriszentpéteri;9944
Bajna;község;Komárom-Esztergom;Dorogi;2525
Bajót;község;Komárom-Esztergom;Esztergomi;2533
Bak;község;Zala;Zalaegerszegi;8945
Bakháza;község;Somogy;Nagyatádi;7585
Bakóca;község;Baranya;Sásdi;7393
Bakonszeg;község;Hajdú-Bihar;Berettyóújfalui;4164
Bakonya;község;Baranya;Pécsi;7675
Bakonybánk;község;Komárom-Esztergom;Kisbéri;2885
Bakonybél;község;Veszprém;Zirci;8427
Bakonycsernye;község;Fejér;Móri;8056
